,UTF-8,字,class_idx
166,E6BC94,演,0
167,E7828E,炎,5
168,E78494,焔,4
169,E78599,煙,8
170,E78795,燕,7
171,E78CBF,猿,6
172,E7B881,縁,4
173,E889B6,艶,1
174,E88B91,苑,2
175,E89697,薗,7
176,E981A0,遠,0
177,E9899B,鉛,1
178,E9B49B,鴛,1
179,E5A1A9,塩,8
180,E696BC,於,4
181,E6B19A,汚,0
182,E794A5,甥,4
183,E587B9,凹,2
184,E5A4AE,央,5
185,E5A5A5,奥,6
186,E5BE80,往,9
187,E5BF9C,応,2
188,E68ABC,押,3
189,E697BA,旺,8
190,E6A8AA,横,9
191,E6ACA7,欧,8
192,E6AEB4,殴,8
193,E78E8B,王,5
194,E7BF81,翁,4
195,E8A596,襖,9
196,E9B4AC,鴬,6
197,E9B48E,鴎,4
198,E9BB84,黄,6
199,E5B2A1,岡,1
200,E6B296,沖,0
201,E88DBB,荻,8
202,E58484,億,3
203,E5B18B,屋,8
204,E686B6,憶,3
205,E88786,臆,4
206,E6A1B6,桶,3
207,E789A1,牡,9
208,E4B999,乙,2
209,E4BFBA,俺,3
210,E58DB8,卸,7
211,E681A9,恩,2
212,E6B8A9,温,0
213,E7A98F,穏,2
214,E99FB3,音,2
215,E4B88B,下,5
216,E58C96,化,9
217,E4BBAE,仮,9
218,E4BD95,何,3
219,E4BCBD,伽,3
220,E4BEA1,価,3
221,E4BDB3,佳,9
222,E58AA0,加,3
223,E58FAF,可,1
224,E59889,嘉,3
225,E5A48F,夏,5
226,E5AB81,嫁,9
227,E5AEB6,家,5
228,E5AFA1,寡,2
229,E7A791,科,3
230,E69A87,暇,8
231,E69E9C,果,5
232,E69EB6,架,5
233,E6AD8C,歌,8
234,E6B2B3,河,0
235,E781AB,火,5
236,E78F82,珂,1
237,E7A68D,禍,3
238,E7A6BE,禾,5
239,E7A8BC,稼,3
240,E7AE87,箇,1
241,E88AB1,花,2
242,E88B9B,苛,7
243,E88C84,茄,7
244,E88DB7,荷,7
245,E88FAF,華,5
246,E88F93,菓,5
247,E89DA6,蝦,4
248,E8AAB2,課,8
249,E598A9,嘩,7
250,E8B2A8,貨,6
251,E8BFA6,迦,0
252,E9818E,過,0
253,E99C9E,霞,8
254,E89A8A,蚊,8
255,E4BF84,俄,9
256,E5B3A8,峨,4
257,E68891,我,6
258,E78999,牙,7
259,E794BB,画,1
260,E887A5,臥,8
261,E88ABD,芽,7
262,E89BBE,蛾,4
263,E8B380,賀,6
264,E99B85,雅,8
265,E9A493,餓,4
266,E9A795,駕,1
267,E4BB8B,介,2
268,E4BC9A,会,5
269,E8A7A3,解,4
270,E59B9E,回,1
271,E5A18A,塊,8
272,E5A38A,壊,8
273,E5BBBB,廻,1
274,E5BFAB,快,9
275,E680AA,怪,9
276,E68294,悔,3
277,E681A2,恢,9
278,E68790,懐,9
279,E68892,戒,4
280,E68B90,拐,3
281,E694B9,改,8
282,E9AD81,魁,1
283,E699A6,晦,4
284,E6A2B0,械,9
285,E6B5B7,海,0
286,E781B0,灰,6
287,E7958C,界,2
288,E79A86,皆,3
289,E7B5B5,絵,4
290,E88AA5,芥,7
291,E89FB9,蟹,6
292,E9968B,開,1
293,E99A8E,階,1
294,E8B29D,貝,6
295,E587B1,凱,8
296,E58ABE,劾,1
297,E5A496,外,7
298,E592B3,咳,8
299,E5AEB3,害,2
300,E5B496,崖,6
301,E685A8,慨,9
302,E6A682,概,9
303,E6B6AF,涯,0
304,E7A28D,碍,1
305,E8938B,蓋,7
306,E8A197,街,1
307,E8A9B2,該,8
308,E98EA7,鎧,4
309,E9AAB8,骸,8
310,E6B5AC,浬,0
311,E9A6A8,馨,7
312,E89B99,蛙,4
313,E59EA3,垣,8
314,E69FBF,柿,3
315,E89B8E,蛎,4
316,E9888E,鈎,1
317,E58A83,劃,1
318,E59A87,嚇,3
319,E59084,各,2
320,E5BB93,廓,7
321,E68BA1,拡,9
322,E692B9,撹,9
323,E6A0BC,格,9
324,E6A0B8,核,9
325,E6AEBB,殻,8
326,E78DB2,獲,6
327,E7A2BA,確,6
328,E7A9AB,穫,6
329,E8A69A,覚,2
330,E8A792,角,1
331,E8B5AB,赫,1
332,E8BC83,較,8
333,E983AD,郭,7
334,E996A3,閣,1
335,E99A94,隔,1
336,E99DA9,革,5
337,E5ADA6,学,5
338,E5B2B3,岳,9
339,E6A5BD,楽,5
340,E9A18D,額,8
341,E9A18E,顎,8
342,E68E9B,掛,3
343,E7ACA0,笠,2
344,E6A8AB,樫,9
345,E6A9BF,橿,9
346,E6A2B6,梶,3
347,E9B08D,鰍,4
348,E6BD9F,潟,0
349,E589B2,割,1
350,E5969D,喝,1
351,E681B0,恰,9
352,E68BAC,括,9
353,E6B4BB,活,0
354,E6B887,渇,0
355,E6BB91,滑,0
356,E8919B,葛,7
357,E8A490,褐,3
358,E8BD84,轄,4
359,E4B894,且,2
360,E9B0B9,鰹,4
361,E58FB6,叶,7
362,E6A49B,椛,9
363,E6A8BA,樺,3
364,E99E84,鞄,1
365,E6A0AA,株,3
366,E5859C,兜,2
367,E7AB83,竃,6
368,E892B2,蒲,7
369,E9879C,釜,7
370,E98E8C,鎌,4
371,E5999B,噛,4
372,E9B4A8,鴨,4
373,E6A0A2,栢,9
374,E88C85,茅,5
375,E890B1,萱,7
376,E7B2A5,粥,1
377,E58888,刈,1
378,E88B85,苅,1
379,E793A6,瓦,2
380,E4B9BE,乾,1
381,E4BE83,侃,3
382,E586A0,冠,1
383,E5AF92,寒,5
384,E5888A,刊,1
385,E58B98,勘,1
386,E58BA7,勧,1
387,E5B7BB,巻,7
388,E5969A,喚,8
389,E5A0AA,堪,6
390,E5A7A6,姦,6
391,E5AE8C,完,2
392,E5AE98,官,2
393,E5AF9B,寛,2
394,E5B9B2,干,5
395,E5B9B9,幹,2
396,E682A3,患,2
397,E6849F,感,2
398,E685A3,慣,9
399,E686BE,憾,3
400,E68F9B,換,9
401,E695A2,敢,8
402,E69F91,柑,9
403,E6A193,桓,9
404,E6A3BA,棺,9
405,E6ACBE,款,4
406,E6AD93,歓,4
407,E6B197,汗,0
408,E6BCA2,漢,0
409,E6BE97,澗,0
410,E6BD85,潅,0
411,E792B0,環,8
412,E79498,甘,2
413,E79BA3,監,2
414,E79C8B,看,3
415,E7ABBF,竿,7
416,E7AEA1,管,3
417,E7B0A1,簡,4
418,E7B7A9,緩,4
419,E7BCB6,缶,2
420,E7BFB0,翰,4
421,E8829D,肝,7
422,E889A6,艦,4
423,E88E9E,莞,1
424,E8A6B3,観,4
425,E8AB8C,諌,8
426,E8B2AB,貫,6
427,E98284,還,0
428,E99191,鑑,4
429,E99693,間,1
430,E99691,閑,1
431,E996A2,関,1
432,E999A5,陥,1
433,E99F93,韓,1
434,E9A4A8,館,1
435,E88898,舘,4
436,E4B8B8,丸,2
437,E590AB,含,2
438,E5B2B8,岸,0
439,E5B78C,巌,8
440,E78EA9,玩,6
441,E7998C,癌,9
442,E79CBC,眼,8
443,E5B2A9,岩,2
444,E7BFAB,翫,8
445,E8B48B,贋,8
446,E99B81,雁,8
447,E9A091,頑,8
448,E9A194,顔,8
449,E9A198,願,8
450,E4BC81,企,5
451,E4BC8E,伎,9
452,E58DB1,危,1
453,E5969C,喜,2
454,E599A8,器,1
455,E59FBA,基,8
456,E5A587,奇,2
457,E5AC89,嬉,4
458,E5AF84,寄,2
459,E5B290,岐,4
460,E5B88C,希,3
461,E5B9BE,幾,4
462,E5BF8C,忌,2
463,E68FAE,揮,3
464,E69CBA,机,9
465,E69797,旗,6
466,E697A2,既,4
467,E69C9F,期,1
468,E6A38B,棋,9
469,E6A384,棄,5
470,E6A99F,機,9
471,E5B8B0,帰,3
472,E6AF85,毅,8
473,E6B097,気,1
474,E6B1BD,汽,6
475,E795BF,畿,4
476,E7A588,祈,3
477,E5ADA3,季,5
478,E7A880,稀,3
479,E7B480,紀,1
480,E5BEBD,徽,9
481,E8A68F,規,8
482,E8A898,記,1
483,E8B2B4,貴,6
484,E8B5B7,起,1
485,E8BB8C,軌,1
486,E8BC9D,輝,7
487,E9A3A2,飢,1
488,E9A88E,騎,1
489,E9ACBC,鬼,2
490,E4BA80,亀,1
491,E581BD,偽,3
492,E58480,儀,6
493,E5A693,妓,4
494,E5AE9C,宜,5
495,E688AF,戯,4
496,E68A80,技,9
497,E693AC,擬,9
498,E6ACBA,欺,4
499,E78AA0,犠,9
500,E79691,疑,4
501,E7A587,祇,9
502,E7BEA9,義,8
503,E89FBB,蟻,4
504,E8AABC,誼,8
505,E8ADB0,議,8
506,E68EAC,掬,9
507,E88F8A,菊,7
508,E99EA0,鞠,4
509,E59089,吉,2
510,E59083,吃,1
511,E596AB,喫,8
512,E6A194,桔,9
513,E6A998,橘,3
514,E8A9B0,詰,1
515,E7A0A7,砧,9
516,E69DB5,杵,3
517,E9BB8D,黍,5
518,E58DB4,却,7
519,E5AEA2,客,2
520,E8849A,脚,3
521,E89990,虐,6
522,E98086,逆,0
523,E4B898,丘,2
524,E4B985,久,5
525,E4BB87,仇,9
526,E4BC91,休,3
527,E58F8A,及,8
528,E590B8,吸,8
529,E5AEAE,宮,2
530,E5BC93,弓,2
531,E680A5,急,2
532,E69591,救,8
533,E69CBD,朽,3
534,E6B182,求,5
535,E6B1B2,汲,0
536,E6B3A3,泣,0
537,E781B8,灸,5
538,E79083,球,7
539,E7A9B6,究,2
540,E7AAAE,窮,1
541,E7AC88,笈,8
542,E7B49A,級,4
543,E7B3BE,糾,4
544,E7B5A6,給,1
545,E697A7,旧,1
546,E7899B,牛,5
547,E58EBB,去,5
548,E5B185,居,1
549,E5B7A8,巨,2
550,E68B92,拒,9
551,E68BA0,拠,9
552,E68C99,挙,5
553,E6B8A0,渠,5
554,E8999A,虚,6
555,E8A8B1,許,7
556,E8B79D,距,1
557,E98BB8,鋸,4
558,E6BC81,漁,0
559,E7A6A6,禦,5
560,E9AD9A,魚,2
561,E4BAA8,亨,5
562,E4BAAB,享,5
563,E4BAAC,京,5
564,E4BE9B,供,9
565,E4BEA0,侠,9
566,E58391,僑,3
567,E58587,兇,2
568,E7ABB6,競,4
569,E585B1,共,6
570,E587B6,凶,1
571,E58D94,協,3
572,E58CA1,匡,8
573,E58DBF,卿,3
574,E58FAB,叫,4
575,E596AC,喬,1
576,E5A283,境,4
577,E5B3A1,峡,4
578,E5BCB7,強,6
579,E5BD8A,彊,6
580,E680AF,怯,9
581,E68190,恐,2
582,E681AD,恭,7
583,E68C9F,挟,9
584,E69599,教,8
585,E6A98B,橋,3
586,E6B381,況,0
587,E78B82,狂,2
588,E78BAD,狭,6
589,E79FAF,矯,1
590,E883B8,胸,1
591,E88485,脅,2
592,E88888,興,6
593,E8958E,蕎,7
594,E983B7,郷,9
595,E98FA1,鏡,4
596,E99FBF,響,3
597,E9A597,饗,6
598,E9A99A,驚,1
599,E4BBB0,仰,3
600,E5879D,凝,8
601,E5B0AD,尭,2
602,E69A81,暁,8
603,E6A5AD,業,5
604,E5B180,局,1
605,E69BB2,曲,1
606,E6A5B5,極,9
607,E78E89,玉,5
608,E6A190,桐,3
609,E7B281,粁,2
610,E58385,僅,9
611,E58BA4,勤,1
612,E59D87,均,1
613,E5B7BE,巾,5
614,E98CA6,錦,4
615,E696A4,斤,2
616,E6ACA3,欣,8
617,E6ACBD,欽,4
618,E790B4,琴,3
619,E7A681,禁,7
620,E7A6BD,禽,6
621,E7AD8B,筋,4
622,E7B78A,緊,8
623,E88AB9,芹,7
624,E88F8C,菌,7
625,E8A1BF,衿,3
626,E8A59F,襟,3
627,E8ACB9,謹,8
628,E8BF91,近,0
629,E98791,金,5
630,E5909F,吟,7
631,E98A80,銀,4
632,E4B99D,九,2
633,E580B6,倶,9
634,E58FA5,句,1
635,E58CBA,区,6
636,E78B97,狗,2
637,E78E96,玖,8
638,E79FA9,矩,1
639,E88BA6,苦,7
640,E8BAAF,躯,4
641,E9A786,駆,8
642,E9A788,駈,1
643,E9A792,駒,1
644,E585B7,具,6
645,E6849A,愚,2
646,E8999E,虞,6
647,E596B0,喰,8
648,E7A9BA,空,5
649,E581B6,偶,3
650,E5AF93,寓,6
651,E98187,遇,0
652,E99A85,隅,1
653,E4B8B2,串,5
654,E6AB9B,櫛,3
655,E987A7,釧,4
656,E5B191,屑,1
657,E5B188,屈,6
658,E68E98,掘,9
659,E7AA9F,窟,6
660,E6B293,沓,2
661,E99DB4,靴,1
662,E8BDA1,轡,2
663,E7AAAA,窪,6
664,E7868A,熊,9
665,E99A88,隈,8
666,E7B282,粂,5
667,E6A097,栗,5
668,E7B9B0,繰,4
669,E6A191,桑,5
670,E98DAC,鍬,9
671,E58BB2,勲,7
672,E5909B,君,2
673,E896AB,薫,7
674,E8A893,訓,1
675,E7BEA4,群,7
676,E8BB8D,軍,5
677,E983A1,郡,7
678,E58DA6,卦,2
679,E8A288,袈,8
680,E7A581,祁,7
681,E4BF82,係,3
682,E582BE,傾,8
683,E58891,刑,1
684,E58584,兄,2
685,E59593,啓,2
686,E59CAD,圭,5
687,E78FAA,珪,2
688,E59E8B,型,2
689,E5A591,契,5
690,E5BDA2,形,7
691,E5BE84,径,9
692,E681B5,恵,2
693,E685B6,慶,6
694,E685A7,慧,2
695,E686A9,憩,2
696,E68EB2,掲,9
697,E690BA,携,9
698,E695AC,敬,8
699,E699AF,景,5
700,E6A182,桂,9
701,E6B893,渓,0
702,E795A6,畦,8
703,E7A8BD,稽,3
704,E7B3BB,系,5
705,E7B58C,経,4
706,E7B699,継,4
707,E7B98B,繋,6
708,E7BDAB,罫,7
709,E88C8E,茎,7
710,E88D8A,荊,1
711,E89B8D,蛍,5
712,E8A888,計,7
713,E8A9A3,詣,1
714,E8ADA6,警,6
715,E8BBBD,軽,4
716,E9A09A,頚,8
717,E9B68F,鶏,1
718,E88AB8,芸,7
719,E8BF8E,迎,0
720,E9AFA8,鯨,4
721,E58A87,劇,1
722,E6889F,戟,4
723,E69283,撃,5
724,E6BF80,激,0
725,E99A99,隙,8
726,E6A181,桁,9
727,E58291,傑,9
728,E6ACA0,欠,5
729,E6B1BA,決,0
730,E6BD94,潔,0
731,E7A9B4,穴,5
732,E7B590,結,1
733,E8A180,血,2
734,E8A8A3,訣,8
735,E69C88,月,2
736,E4BBB6,件,3
737,E580B9,倹,9
738,E580A6,倦,3
739,E581A5,健,8
740,E585BC,兼,6
741,E588B8,券,2
742,E589A3,剣,1
743,E596A7,喧,8
744,E59C8F,圏,1
745,E5A085,堅,2
746,E5AB8C,嫌,4
747,E5BBBA,建,0
748,E686B2,憲,2
749,E687B8,懸,2
750,E68BB3,拳,5
751,E68DB2,捲,3
752,E6A49C,検,9
753,E6A8A9,権,9
754,E789BD,牽,5
755,E78AAC,犬,5
756,E78CAE,献,8
757,E7A094,研,1
758,E7A1AF,硯,6
759,E7B5B9,絹,4
760,E79C8C,県,5
761,E882A9,肩,1
762,E8A68B,見,2
763,E8AC99,謙,8
764,E8B3A2,賢,6
765,E8BB92,軒,2
766,E981A3,遣,0
767,E98DB5,鍵,4
768,E999BA,険,8
769,E9A195,顕,8
770,E9A893,験,8
771,E9B9B8,鹸,8
772,E58583,元,2
773,E58E9F,原,8
774,E58EB3,厳,8
775,E5B9BB,幻,1
776,E5BCA6,弦,2
777,E6B89B,減,0
778,E6BA90,源,0
779,E78E84,玄,5
780,E78FBE,現,6
781,E7B583,絃,4
782,E888B7,舷,4
783,E8A880,言,2
784,E8ABBA,諺,7
785,E99990,限,8
786,E4B98E,乎,5
787,E5808B,個,3
788,E58FA4,古,2
789,E591BC,呼,7
790,E59BBA,固,1
791,E5A791,姑,1
792,E5ADA4,孤,6
793,E5B7B1,己,2
794,E5BAAB,庫,0
795,E5BCA7,弧,6
796,E688B8,戸,7
797,E69585,故,8
798,E69EAF,枯,9
799,E6B996,湖,0
800,E78B90,狐,6
801,E7B38A,糊,4
802,E8A2B4,袴,3
803,E882A1,股,8
804,E883A1,胡,1
805,E88FB0,菰,7
806,E8998E,虎,6
807,E8AA87,誇,7
808,E8B7A8,跨,7
809,E988B7,鈷,1
810,E99B87,雇,8
811,E9A1A7,顧,8
812,E9BC93,鼓,8
813,E4BA94,五,2
814,E4BA92,互,2
815,E4BC8D,伍,3
816,E58D88,午,5
817,E59189,呉,6
818,E590BE,吾,2
819,E5A8AF,娯,4
820,E5BE8C,後,9
821,E5BEA1,御,3
822,E6829F,悟,3
823,E6A2A7,梧,9
824,E6AA8E,檎,3
825,E7919A,瑚,1
826,E7A281,碁,7
827,E8AA9E,語,1
828,E8AAA4,誤,8
829,E8ADB7,護,6
830,E98690,醐,1
831,E4B99E,乞,2
832,E9AF89,鯉,4
833,E4BAA4,交,5
834,E4BDBC,佼,9
835,E4BEAF,侯,9
836,E58099,候,4
837,E58096,倖,3
838,E58589,光,2
839,E585AC,公,1
840,E58A9F,功,1
841,E58AB9,効,1
842,E58BBE,勾,1
843,E58E9A,厚,7
844,E58FA3,口,2
845,E59091,向,1
846,E5908E,后,1
847,E59689,喉,8
848,E59D91,坑,1
849,E59EA2,垢,1
850,E5A5BD,好,3
851,E5AD94,孔,2
852,E5AD9D,孝,5
853,E5AE8F,宏,0
854,E5B7A5,工,5
855,E5B7A7,巧,1
856,E5B7B7,巷,7
857,E5B9B8,幸,5
858,E5BA83,広,6
859,E5BA9A,庚,6
860,E5BAB7,康,6
861,E5BC98,弘,1
862,E68192,恒,9
863,E6858C,慌,9
864,E68A97,抗,9
865,E68B98,拘,3
866,E68EA7,控,9
867,E694BB,攻,8
868,E69882,昂,7
869,E69983,晃,2
870,E69BB4,更,5
871,E69DAD,杭,9
872,E6A0A1,校,9
873,E6A297,梗,9
874,E6A78B,構,3
875,E6B19F,江,1
876,E6B4AA,洪,0
877,E6B5A9,浩,0
878,E6B8AF,港,0
879,E6BA9D,溝,0
880,E794B2,甲,5
881,E79A87,皇,5
882,E7A1AC,硬,6
883,E7A8BF,稿,4
884,E7B3A0,糠,7
885,E7B485,紅,4
886,E7B498,紘,4
887,E7B59E,絞,4
888,E7B6B1,綱,4
889,E88095,耕,4
890,E88083,考,2
891,E882AF,肯,2
892,E882B1,肱,8
893,E88594,腔,8
894,E8868F,膏,2
895,E888AA,航,1
896,E88D92,荒,8
897,E8A18C,行,2
898,E8A1A1,衡,3
899,E8AC9B,講,1
900,E8B2A2,貢,6
901,E8B3BC,購,1
902,E9838A,郊,7
903,E985B5,酵,7
904,E989B1,鉱,4
905,E7A0BF,砿,4
906,E98BBC,鋼,4
907,E996A4,閤,1
908,E9998D,降,7
909,E9A085,項,8
910,E9A699,香,3
911,E9AB98,高,6
912,E9B4BB,鴻,0
913,E5899B,剛,1
914,E58AAB,劫,1
915,E58FB7,号,3
916,E59088,合,2
917,E5A395,壕,7
918,E68BB7,拷,3
919,E6BFA0,濠,0
920,E8B1AA,豪,5
921,E8BD9F,轟,5
922,E9BAB9,麹,3
923,E5858B,克,2
924,E588BB,刻,1
925,E5918A,告,2
926,E59BBD,国,1
927,E7A980,穀,8
928,E985B7,酷,1
929,E9B5A0,鵠,1
930,E9BB92,黒,6
931,E78D84,獄,9
932,E6BC89,漉,0
933,E885B0,腰,8
934,E79491,甑,4
935,E5BFBD,忽,2
936,E6839A,惚,3
937,E9AAA8,骨,3
938,E78B9B,狛,9
939,E8BEBC,込,0
940,E6ADA4,此,1
941,E9A083,頃,8
942,E4BB8A,今,7
943,E59BB0,困,1
944,E59DA4,坤,3
945,E5A2BE,墾,2
946,E5A99A,婚,4
947,E681A8,恨,9
948,E68787,懇,2
949,E6988F,昏,3
950,E69886,昆,2
951,E6A0B9,根,9
952,E6A2B1,梱,3
953,E6B7B7,混,0
954,E79795,痕,9
955,E7B4BA,紺,4
956,E889AE,艮,6
957,E9AD82,魂,0
958,E4BA9B,些,2
959,E4BD90,佐,3
960,E58F89,叉,5
961,E59486,唆,8
962,E5B5AF,嵯,4
963,E5B7A6,左,2
964,E5B7AE,差,5
965,E69FBB,査,5
966,E6B299,沙,0
967,E791B3,瑳,6
968,E7A082,砂,7
969,E8A990,詐,7
970,E98E96,鎖,4
971,E8A39F,裟,8
972,E59D90,坐,5
973,E5BAA7,座,6
974,E68CAB,挫,9
975,E582B5,債,9
976,E582AC,催,9
977,E5868D,再,2
978,E69C80,最,8
979,E59389,哉,4
980,E5A19E,塞,5
981,E5A6BB,妻,6
982,E5AEB0,宰,5
983,E5BDA9,彩,7
984,E6898D,才,5
985,E68EA1,採,3
986,E6A0BD,栽,4
987,E6ADB3,歳,8
988,E6B888,済,0
989,E781BD,災,5
990,E98787,采,5
991,E78A80,犀,7
992,E7A095,砕,7
993,E7A0A6,砦,1
994,E7A5AD,祭,5
995,E6968E,斎,5
996,E7B4B0,細,4
997,E88F9C,菜,5
998,E8A381,裁,4
999,E8BC89,載,4
1000,E99A9B,際,8
1001,E589A4,剤,1
1002,E59CA8,在,2
1003,E69D90,材,3
1004,E7BDAA,罪,7
1005,E8B2A1,財,1
1006,E586B4,冴,0
1007,E59D82,坂,4
1008,E998AA,阪,8
1009,E5A0BA,堺,3
1010,E6A68A,榊,3
1011,E882B4,肴,3
1012,E592B2,咲,8
1013,E5B48E,崎,4
1014,E59FBC,埼,4
1015,E7A295,碕,1
1016,E9B7BA,鷺,1
1017,E4BD9C,作,3
1018,E5898A,削,1
1019,E5928B,咋,7
1020,E690BE,搾,3
1021,E698A8,昨,7
1022,E69C94,朔,3
1023,E69FB5,柵,3
1024,E7AA84,窄,5
1025,E7AD96,策,5
1026,E7B4A2,索,5
1027,E98CAF,錯,4
1028,E6A19C,桜,9
1029,E9AEAD,鮭,4
1030,E7ACB9,笹,3
1031,E58C99,匙,1
1032,E5868A,冊,1
1033,E588B7,刷,1
1034,E5AF9F,察,5
1035,E68BB6,拶,3
1036,E692AE,撮,9
1037,E693A6,擦,3
1038,E69CAD,札,9
1039,E6AEBA,殺,8
1040,E896A9,薩,7
1041,E99B91,雑,4
1042,E79A90,皐,5
1043,E9AF96,鯖,4
1044,E68D8C,捌,9
1045,E98C86,錆,4
1046,E9AEAB,鮫,8
1047,E79ABF,皿,1
1048,E69992,晒,4
1049,E4B889,三,2
1050,E58298,傘,5
1051,E58F82,参,7
1052,E5B1B1,山,2
1053,E683A8,惨,3
1054,E69292,撒,9
1055,E695A3,散,8
1056,E6A19F,桟,9
1057,E787A6,燦,8
1058,E78F8A,珊,1
1059,E794A3,産,6
1060,E7AE97,算,7
1061,E7BA82,纂,8
1062,E89A95,蚕,5
1063,E8AE83,讃,6
1064,E8B39B,賛,6
1065,E985B8,酸,8
1066,E9A490,餐,6
1067,E696AC,斬,1
1068,E69AAB,暫,2
1069,E6AE8B,残,8
1070,E4BB95,仕,9
1071,E4BB94,仔,7
1072,E4BCBA,伺,3
1073,E4BDBF,使,9
1074,E588BA,刺,1
1075,E58FB8,司,1
1076,E58FB2,史,5
1077,E597A3,嗣,4
1078,E59B9B,四,7
1079,E5A3AB,士,5
1080,E5A78B,始,1
1081,E5A789,姉,4
1082,E5A7BF,姿,6
1083,E5AD90,子,5
1084,E5B18D,屍,6
1085,E5B882,市,5
1086,E5B8AB,師,7
1087,E5BF97,志,2
1088,E6809D,思,2
1089,E68C87,指,9
1090,E694AF,支,5
1091,E5AD9C,孜,8
1092,E696AF,斯,1
1093,E696BD,施,1
1094,E697A8,旨,2
1095,E69E9D,枝,9
1096,E6ADA2,止,5
1097,E6ADBB,死,2
1098,E6B08F,氏,2
1099,E78D85,獅,1
1100,E7A589,祉,9
1101,E7A781,私,1
1102,E7B3B8,糸,5
1103,E7B499,紙,4
1104,E7B4AB,紫,6
